,Apps,Accept,Enroll,Top10perc,Top25perc,F.Undergrad,P.Undergrad,Outstate,Room.Board,Books,Personal,PhD,Terminal,S.F.Ratio,perc.alumni,Expend,Grad.Rate,Private
Rockhurst College,935,858,345,22,50,1127,754,9490,4100,500,1500,60,79,10.7,21,7519,79,1
Albertson College,587,479,158,38,62,678,41,13500,3335,500,675,67,73,9.4,11,9727,55,1
Christendom College,81,72,51,33,71,139,3,8730,3600,400,800,92,92,9.3,17,10922,58,1
Ursinus College,1399,1026,308,44,77,1131,17,14900,5160,500,800,82,85,11.6,40,12082,79,1
Webster University,665,462,226,17,44,1739,1550,9160,4340,500,500,68,68,20.6,14,6951,48,1
Lincoln University,1660,1091,326,15,41,1196,33,4818,3400,350,1400,71,72,12.6,8,10912,45,0
Whitworth College,1121,926,372,43,70,1270,160,12660,4500,678,2424,80,80,16.9,20,8328,80,1
Xavier University of Louisiana,2097,1915,695,34,61,2793,166,6900,4200,617,781,67,75,14.4,20,8323,49,1
University of Missouri at Saint Louis,1618,1141,479,18,54,4793,4552,7246,3964,500,4288,71,73,13.4,15,6433,48,0
St. Norbert College,1334,1243,568,30,56,1946,95,12140,4450,425,1100,74,78,15.1,36,8595,88,1
Mount Mercy College,368,317,159,20,49,806,542,10500,3555,500,2285,44,50,11.3,30,6695,64,1
Cabrini College,599,494,224,8,28,1035,446,10518,6250,300,300,59,76,16.5,36,7117,71,1
Tuskegee University,2267,1827,611,20,59,2825,144,6735,3395,600,1425,70,74,12.2,7,10872,65,1
Sweet Briar College,462,402,146,36,68,527,41,14500,6000,500,600,91,99,6.5,48,18953,61,1
Manchester College,1004,802,239,23,63,909,51,10440,3850,525,1450,63,72,11.8,20,7940,64,1
Siena Heights College,464,419,183,10,31,686,287,9240,3880,475,1090,29,49,7.2,17,9431,47,1
